userid,spending_amount,receipient_category,Necessities_or_non_essential,timestamp
000053,288.42,buy now pay later,False,2024-11-07 15:04:29.880009
000041,4447.39,investment,False,2024-09-16 15:04:29.880009
000058,80.67,transportation,True,2024-11-15 15:04:29.880009
000061,249.89,telco,True,2024-08-10 15:04:29.880009
000016,278.82,fashion,False,2024-07-03 15:04:29.880009
000033,102.41,taxes,True,2024-08-13 15:04:29.880009
000022,986.92,groceries,True,2024-10-18 15:04:29.880009
000075,810.71,rental,True,2024-09-03 15:04:29.880009
000042,8022.73,investment,False,2024-08-26 15:04:29.880009
000036,983.28,installments,False,2024-09-14 15:04:29.880009
000025,188.18,transportation,True,2024-08-06 15:04:29.880009
000010,338.67,installments,False,2024-08-05 15:04:29.880009
000053,708.44,utility,True,2024-08-25 15:04:29.880009
000048,5610.65,investment,False,2024-11-26 15:04:29.880009
000023,355.32,installments,False,2024-10-26 15:04:29.880009
000051,450.9,gym membership,False,2024-10-25 15:04:29.880009
000049,576.95,gym membership,False,2024-11-11 15:04:29.880009
000072,221.1,insurance,True,2024-07-04 15:04:29.880009
000029,228.52,fashion,False,2024-11-24 15:04:29.880009
000002,837.67,gym membership,False,2024-10-03 15:04:29.880009
000002,72.56,buy now pay later,False,2024-08-17 15:04:29.880009
000071,78.7,installments,False,2024-10-07 15:04:29.880009
000082,605.22,transportation,True,2024-11-12 15:04:29.880009
000077,308.87,buy now pay later,False,2024-07-30 15:04:29.880009
000079,187.5,gym membership,False,2024-08-23 15:04:29.880009
000029,93.85,utility,True,2024-07-20 15:04:29.880009
000011,686.3,utility,True,2024-10-16 15:04:29.880009
000059,53.34,insurance,True,2024-09-05 15:04:29.880009
000025,41.42,groceries,True,2024-08-15 15:04:29.880009
000033,91.04,buy now pay later,False,2024-07-06 15:04:29.880009
000021,255.79,rental,True,2024-08-29 15:04:29.880009
000006,8183.28,investment,False,2024-12-23 15:04:29.880009
000052,972.95,telco,True,2024-10-08 15:04:29.880009
000078,127.41,food,True,2024-09-05 15:04:29.880009
000055,530.48,rental,True,2024-10-14 15:04:29.880009
000076,14.25,transportation,True,2024-09-24 15:04:29.880009
000033,991.92,transportation,True,2024-09-14 15:04:29.880009
000019,547.6,food,True,2024-12-08 15:04:29.880009
000082,44.46,installments,False,2024-07-26 15:04:29.880009
000048,7179.5,mortgage loan,True,2024-10-22 15:04:29.880009
000021,32.94,insurance,True,2024-07-15 15:04:29.880009
000072,871.5,taxes,True,2024-10-18 15:04:29.880009
000015,6560.54,mortgage loan,True,2024-12-21 15:04:29.880009
000001,5794.36,mortgage loan,True,2024-09-05 15:04:29.880009
000067,707.63,food,True,2024-11-18 15:04:29.880009
000056,300.87,buy now pay later,False,2024-11-25 15:04:29.880009
000058,51.76,food,True,2024-10-18 15:04:29.880009
000063,41.91,rental,True,2024-08-26 15:04:29.880009
